Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
125,Monday Aug 24,boxscore,COL,,SFG,W-wo,6,4,14,71-54,2,3.0,Eaton,Miller,,4:57,N,27670,2.70,+++,
126,Tuesday Aug 25,boxscore,COL,,LAD,W-wo,5,4,10,72-54,2,2.0,Herges,McDonald,,3:20,N,31472,2.20,++++,
127,Wednesday Aug 26,boxscore,COL,,LAD,L,1,6,,72-55,2,3.0,Wolf,Fogg,,2:46,N,38350,2.10,-,
128,Thursday Aug 27,boxscore,COL,,LAD,L,2,3,,72-56,2,4.0,Padilla,De La Rosa,Broxton,3:19,D,33441,2.24,--,
129,Friday Aug 28,boxscore,COL,@,SFG,L,0,2,,72-57,2,4.0,Lincecum,Jiménez,Wilson,2:23,N,39047,2.83,---,
130,Saturday Aug 29,boxscore,COL,@,SFG,L,3,5,,72-58,2,5.0,Zito,Marquis,Wilson,2:36,N,41200,3.21,----,
131,Sunday Aug 30,boxscore,COL,@,SFG,L,5,9,,72-59,2,6.0,Medders,Betancourt,,3:22,D,42571,3.39,-----,
132,Tuesday Sep 1,boxscore,COL,,NYM,W,8,3,,73-59,2,5.5,De La Rosa,Pelfrey,,2:55,N,26190,2.17,+,
133,Wednesday Sep 2,boxscore,COL,,NYM,W,5,2,,74-59,2,4.5,Jiménez,Stokes,Morales,2:38,N,26276,2.21,++,
134,Thursday Sep 3,boxscore,COL,,NYM,L,3,8,,74-60,2,5.5,Misch,Marquis,,2:54,D,22566,2.27,-,
135,Friday Sep 4,boxscore,COL,,ARI,W,5,4,,75-60,2,4.5,Betancourt,Boyer,Morales,3:06,N,31401,2.33,+,
136,Saturday Sep 5,boxscore,COL,,ARI,W,4,1,,76-60,2,4.5,Contreras,Davis,Morales,2:26,N,39297,2.34,++,
137,Sunday Sep 6,boxscore,COL,,ARI,W,13,5,,77-60,2,3.5,De La Rosa,Petit,,3:27,D,35192,2.32,+++,
138,Monday Sep 7,boxscore,COL,,CIN,W,4,3,,78-60,2,3.5,Betancourt,Fisher,Morales,2:52,D,40357,2.16,++++,
139,Tuesday Sep 8,boxscore,COL,,CIN,W,3,1,,79-60,2,3.5,Marquis,Maloney,Morales,2:32,N,23154,2.18,+++++,
140,Wednesday Sep 9,boxscore,COL,,CIN,W-wo,4,3,,80-60,2,2.5,Daley,Cordero,,2:45,N,23721,1.93,++++++,
141,Thursday Sep 10,boxscore,COL,,CIN,W,5,1,,81-60,2,2.0,Rincón,Wells,,2:38,D,24175,1.73,+++++++,
142,Friday Sep 11,boxscore,COL,@,SDP,W,4,1,,82-60,2,2.0,Betancourt,Bell,Morales,3:13,N,18022,1.52,++++++++,
143,Saturday Sep 12,boxscore,COL,@,SDP,L-wo,2,3,10,82-61,2,3.0,Gallagher,Morales,,2:59,N,19897,1.07,-,
144,Sunday Sep 13,boxscore,COL,@,SDP,L,3,7,,82-62,2,3.0,Russell,Marquis,,3:01,D,19739,1.11,--,
145,Monday Sep 14,boxscore,COL,@,SFG,L,1,9,,82-63,2,4.0,Lincecum,Hammel,,2:46,N,31307,2.17,---,
146,Tuesday Sep 15,boxscore,COL,@,SFG,L,2,10,,82-64,2,5.0,Zito,Jiménez,,2:58,N,30353,2.81,----,
147,Wednesday Sep 16,boxscore,COL,@,SFG,W,4,3,,83-64,2,5.0,De La Rosa,Cain,Betancourt,3:02,N,38696,3.74,+,
148,Friday Sep 18,boxscore,COL,@,ARI,L,5,7,,83-65,2,5.0,Rosales,Flores,Gutiérrez,2:59,N,34231,1.78,-,
149,Saturday Sep 19,boxscore,COL,@,ARI,W,10,4,,84-65,2,5.0,Hammel,Scherzer,,3:08,N,29466,2.23,+,
150,Sunday Sep 20,boxscore,COL,@,ARI,W,5,1,,85-65,2,5.0,Jiménez,Haren,,2:36,D,29397,1.82,++,
151,Tuesday Sep 22,boxscore,COL,,SDP,W,11,10,,86-65,2,5.0,Belisle,Ramos,Morales,3:42,N,30695,1.28,+++,
152,Wednesday Sep 23,boxscore,COL,,SDP,L,3,6,,86-66,2,5.0,Webb,Marquis,Bell,3:26,N,29597,.73,-,
153,Thursday Sep 24,boxscore,COL,,SDP,L,4,5,,86-67,2,6.0,Russell,Beimel,Gregerson,3:03,N,37049,1.46,--,
154,Friday Sep 25,boxscore,COL,,STL,W-wo,2,1,,87-67,2,5.0,Street,Miller,,2:38,N,48847,1.78,+,
155,Saturday Sep 26,boxscore,COL,,STL,L,3,6,,87-68,2,6.0,Wainwright,Jiménez,Franklin,3:04,N,47741,1.29,-,
156,Sunday Sep 27,boxscore,COL,,STL,W,4,3,,88-68,2,5.0,De La Rosa,Lohse,Street,3:12,D,42032,2.34,+,
157,Tuesday Sep 29,boxscore,COL,,MIL,W-wo,7,5,11,89-68,2,3.5,Belisle,Weathers,,3:30,N,39087,2.84,++,
158,Wednesday Sep 30,boxscore,COL,,MIL,W,10,6,,90-68,2,2.5,Hammel,Suppan,,3:23,N,41465,1.24,+++,
159,Thursday Oct 1,boxscore,COL,,MIL,W,9,2,,91-68,2,2.0,Cook,Parra,,2:59,D,38098,.23,++++,
160,Friday Oct 2,boxscore,COL,@,LAD,W,4,3,,92-68,2,1.0,Jiménez,Wolf,Street,3:42,N,54131,.46,+++++,
161,Saturday Oct 3,boxscore,COL,@,LAD,L,0,5,,92-69,2,2.0,Kuo,Morales,,3:02,N,54531,.90,-,
162,Sunday Oct 4,boxscore,COL,@,LAD,L,3,5,,92-70,2,3.0,Padilla,Marquis,Troncoso,3:05,D,51396,.00,--,
